depth_m,arrival_f0.1_s,arrival_f0.5_s,arrival_f0.9_s,arrival_volumetric_s,arrival_in_gauge_s,front_envelope_s,front_rise_velocity_m_per_min
175.423,853.38,1036.74,nan,1079.12,794.198,1036.74,24.287
176.27,851.777,1034.65,nan,1077.19,792.26,1034.65,24.2052
177.118,850.169,1032.54,nan,1075.26,790.322,1032.54,24.0878
177.964,848.561,1030.43,nan,1073.33,788.384,1030.43,24.0145
178.812,846.951,1028.31,nan,1071.4,786.446,1028.31,23.9315
179.659,845.339,1026.18,nan,1069.46,784.508,1026.18,23.8556
180.505,843.726,1024.05,nan,1067.53,782.57,1024.05,23.804
181.353,842.112,1021.91,nan,1065.6,780.632,1021.91,23.7354
182.2,840.496,1019.76,nan,1063.67,778.694,1019.76,23.6522
183.046,838.878,1017.61,nan,1061.74,776.756,1017.61,23.5881
183.894,837.259,1015.46,nan,1059.81,774.818,1015.46,23.5289
184.74,835.638,1013.29,nan,1057.88,772.88,1013.29,23.459
185.587,834.014,1011.12,nan,1055.95,770.942,1011.12,23.3911
186.435,832.388,1008.95,nan,1054.01,769.004,1008.95,23.3439
187.281,830.76,1006.77,nan,1052.08,767.066,1006.77,23.2999
188.129,829.131,1004.59,nan,1050.15,765.128,1004.59,23.247
188.976,827.499,1002.4,nan,1048.22,763.19,1002.4,23.1841
189.822,825.863,1000.2,nan,1046.29,761.252,1000.2,23.1197
190.669,824.225,998,nan,1044.36,759.314,998,23.1623
191.517,822.59,995.813,nan,1042.42,757.376,995.813,23.4939
192.363,820.971,993.673,nan,1040.5,755.438,993.673,23.6235
193.211,819.351,991.51,nan,1038.59,753.5,991.51,27.0394
194.058,817.871,989.806,nan,1036.68,751.562,989.806,25.0919
194.904,815.15,983.852,nan,1034.9,749.624,983.852,7.21143
195.752,802.559,961.774,nan,1024.03,747.686,961.774,3.18395
196.599,792.02,948.144,nan,1012.23,745.748,948.144,3.44103
197.445,779.253,931.722,nan,997.651,743.81,931.722,3.03125
198.293,765.613,914.583,nan,981.793,741.872,914.583,2.94927
199.139,751.45,897.258,nan,964.928,739.934,897.258,3.18703
199.986,738.781,882.335,nan,949.772,737.996,882.335,3.51611
200.834,726.944,868.297,nan,935.679,736.058,868.297,3.80887
201.68,715.841,855.53,nan,922.287,734.12,855.53,4.33685
202.527,706.248,844.583,nan,910.823,732.182,844.583,4.58686
203.375,696.844,833.364,nan,899.729,730.244,833.364,4.66927
204.221,687.754,822.778,nan,888.876,728.306,822.778,5.0083
205.069,679.489,813.005,nan,879.119,726.368,813.005,5.00448
205.916,670.883,802.401,nan,869.143,724.43,802.401,4.63701
206.762,661.941,791.033,nan,859.014,722.492,791.033,4.32993
207.61,651.848,778.874,nan,847.007,720.554,778.874,4.96849
208.457,643.818,769.736,nan,837.436,718.616,769.736,5.60763
209.303,635.884,760.746,nan,827.827,716.678,760.746,5.96459
210.151,628.969,752.61,nan,819.732,714.74,752.61,5.97252
210.998,621.539,743.648,nan,811.069,712.802,743.648,5.92123
211.844,614.698,735.388,nan,803.216,710.864,735.388,6.07105
212.692,607.386,726.901,nan,794.606,708.926,726.901,6.82368
213.538,601.345,720.117,nan,787.497,706.988,720.117,7.22361
214.385,595.046,712.788,1127.44,780.26,705.05,712.788,7.85948
215.233,589.304,706.882,1121.51,773.296,703.112,706.882,11.1222
216.079,584.918,702.916,1118.15,767.713,701.174,702.916,18.0448
216.926,581.367,700.519,1117.45,762.702,699.236,700.519,19.0297
217.774,578.304,697.378,1113.07,758.909,697.298,697.378,15.3286
218.62,574.914,693.842,1108.39,754.775,695.36,693.842,29.5326
219.467,572.574,692.417,1106.97,751.383,693.422,692.417,30.361
220.315,570.297,690.071,1103.37,748.54,691.484,690.071,19.8413
221.161,567.747,687.182,1099.24,745.564,689.546,687.182,15.1728
222.009,564.716,682.747,1091.44,742.567,687.608,682.747,28.7779
