time_s,efficiency_global,efficiency_swept,interface_length_m,front_20pct_depth_m,back_80pct_depth_m,reynolds_casing_max,reynolds_annulus_max
0,0,nan,nan,nan,nan,875.28,1017.67
6.45166,0,nan,nan,nan,nan,875.28,1017.67
10.3227,0,nan,nan,nan,nan,875.28,1017.67
12.9033,0,nan,nan,nan,nan,875.28,1017.67
19.355,0,nan,nan,nan,nan,875.28,1017.67
20.484,0,nan,nan,nan,nan,875.28,1017.67
25.8066,0,nan,nan,nan,nan,875.28,1017.67
30.8067,0,nan,nan,nan,nan,875.28,1017.67
32.2583,0,nan,nan,nan,nan,875.28,1017.67
38.71,0,nan,nan,nan,nan,875.28,1017.67
40.968,4.95945e-173,nan,nan,nan,nan,875.28,1017.67
45.1616,9.97988e-142,nan,nan,nan,nan,875.28,1017.67
51.2907,1.03079e-114,nan,nan,nan,nan,875.28,1017.67
51.6133,1.45281e-113,nan,nan,nan,nan,875.28,1017.67
58.0649,4.83339e-94,nan,nan,nan,nan,875.28,1017.67
61.4521,8.97832e-86,nan,nan,nan,nan,875.28,1017.67
64.5166,3.82529e-79,nan,nan,nan,nan,875.28,1017.67
70.9683,3.05105e-67,nan,nan,nan,nan,875.28,1017.67
71.7747,6.4442e-66,nan,nan,nan,nan,875.28,1017.67
77.4199,1.79757e-57,nan,nan,nan,nan,875.28,1017.67
81.9361,1.30478e-51,nan,nan,nan,nan,875.28,1017.67
83.8716,2.62823e-49,nan,nan,nan,nan,875.28,1017.67
90.3232,2.1252e-42,nan,nan,nan,nan,875.28,1017.67
92.2587,1.55942e-40,nan,nan,nan,nan,875.28,1017.67
96.7749,1.6661e-36,nan,nan,nan,nan,875.28,1017.67
102.42,4.88862e-32,nan,nan,nan,nan,875.28,1017.67
103.227,1.90918e-31,nan,nan,nan,nan,875.28,1017.67
109.678,4.3614e-27,nan,nan,nan,nan,875.28,1017.67
112.743,3.13224e-25,nan,nan,nan,nan,875.28,1017.67
116.13,2.52787e-23,nan,nan,nan,nan,875.28,1017.67
122.582,4.50264e-20,nan,nan,nan,nan,875.28,1017.67
122.904,6.36529e-20,nan,nan,nan,nan,875.28,1017.67
129.033,2.87908e-17,nan,nan,nan,nan,875.28,1017.67
133.227,1.17819e-15,nan,nan,nan,nan,875.28,1017.67
135.485,7.51347e-15,nan,nan,nan,nan,875.28,1017.67
141.937,8.91315e-13,nan,nan,nan,nan,875.28,1017.67
143.388,2.36449e-12,nan,nan,nan,nan,875.28,1017.67
148.388,5.26984e-11,nan,nan,nan,nan,875.28,1017.67
153.711,9.56271e-10,nan,nan,nan,nan,875.278,1017.67
154.84,1.68213e-09,nan,nan,nan,nan,875.277,1017.67
161.292,3.11101e-08,nan,nan,nan,nan,875.251,1017.67
163.872,8.70223e-08,nan,nan,nan,nan,875.21,1017.67
167.743,3.55302e-07,nan,nan,nan,nan,875.054,1017.67
174.195,2.65851e-06,nan,nan,nan,nan,874.164,1017.67
180.647,1.38011e-05,nan,nan,nan,nan,871.552,1017.67
184.356,3.08306e-05,nan,nan,nan,nan,868.886,1017.68
187.098,5.26389e-05,nan,nan,nan,nan,866.331,1017.69
193.55,0.000156022,nan,nan,nan,nan,858.738,1017.76
194.679,0.000184592,nan,nan,nan,nan,857.256,1017.79
200.002,0.00037826,nan,nan,nan,nan,850.097,1017.98
204.842,0.000661302,nan,nan,nan,nan,843.815,1018.33
206.455,0.000783211,nan,nan,nan,nan,841.85,1018.5
212.91,0.00143349,nan,nan,nan,nan,834.856,1019.51
215.17,0.00172919,nan,nan,nan,nan,832.756,1020.01
219.369,0.00238167,nan,nan,nan,nan,829.309,1021.19
225.347,0.00355755,nan,nan,nan,nan,825.258,1023.49
225.832,0.00366619,nan,nan,nan,nan,824.966,1023.71
232.301,0.00531236,nan,nan,nan,nan,822.164,1027.17
235.539,0.00627645,0.20519,nan,376.059,nan,822.164,1029.27
238.779,0.00733673,0.220494,nan,375.355,nan,822.164,1031.63
245.266,0.00975078,0.225251,nan,374.711,nan,822.164,1037.1
245.753,0.00994776,0.22838,nan,374.44,nan,822.164,1037.55
251.763,0.0125611,0.254506,nan,370.044,nan,822.164,1043.55
255.991,0.0146002,0.267363,nan,367.995,nan,822.164,1048.27
258.27,0.0157668,0.276184,nan,365.063,nan,822.164,1050.98
264.79,0.019359,0.306086,nan,363.677,nan,822.164,1059.32
266.258,0.0202191,0.31548,nan,363.505,nan,822.164,1061.32
271.32,0.0233233,0.312778,nan,361.667,nan,822.164,1068.48
276.554,0.026752,0.332483,nan,359.536,nan,822.164,1076.27
